"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251656",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246282",""
"passed","Fri Nov 27 15:13:22 CST 2020","Fri Nov 27 15:13:23 CST 2020","508","testcases.cdn.bs_console","test_bs_log_query","Test_BS_Log_Query","","","test_CDN_243672",""
"failed","Fri Nov 27 15:15:06 CST 2020","Fri Nov 27 15:15:06 CST 2020","467","testcases.cdn.ctyun_console","test_ctyun_billing","Test_Ctyun_Billing","","","test_CDN_246289",""
"failed","Fri Nov 27 15:15:02 CST 2020","Fri Nov 27 15:15:04 CST 2020","1959","testcases.cdn.bs_console","test_bs_refresh","Test_Bs_Refresh","","","test_CDN_243743",""
"passed","Fri Nov 27 15:19:53 CST 2020","Fri Nov 27 15:19:54 CST 2020","669","testcases.cdn.vip_console","test_vip_log_user","Test_Vip_Log_dataList","","","test_CDN_242512",""
"passed","Fri Nov 27 15:18:51 CST 2020","Fri Nov 27 15:18:52 CST 2020","646","testcases.cdn.vip_console","test_vip_log_query","Test_Vip_Log_Query","","","test_CDN_242533",""
"passed","Fri Nov 27 15:16:36 CST 2020","Fri Nov 27 15:16:38 CST 2020","1846","testcases.cdn.v1","test_v1_domain","TestDomain","","","test_CDN_264343",""
"broken","Fri Nov 27 15:15:10 CST 2020","Fri Nov 27 15:15:10 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_query","Test_Ctyun_Log_Query","","","test_CDN_246283",""
"passed","Fri Nov 27 15:14:26 CST 2020","Fri Nov 27 15:14:26 CST 2020","169","testcases.cdn.bs_console","test_bs_log_top","Test_Bs_Top","","","test_CDN_251607",""
"passed","Fri Nov 27 15:19:57 CST 2020","Fri Nov 27 15:19:57 CST 2020","163","testcases.cdn.vip_console","test_vip_order","Test_Vip_Order","","","test_CDN_259713",""
"broken","Fri Nov 27 15:15:11 CST 2020","Fri Nov 27 15:15:11 CST 2020","0","testcases.cdn.ctyun_console","test_ctyun_log_top","Test_Ctyun_Top","","","test_CDN_251649",""
